Auction,From,State,Loc,,Country,To,Car,Motorcycle,Pickup,SUV,Travel trailer,
Copart,PEORIA - Illinois - Copart,Illinois,IL - Peoria ,IL,USA,Chicago,300,250,,,,Peoria 
Copart,Southern Illinois - Illinois - Copart,Illinois,IL - Southern Illinois ,IL,USA,Savannah,575,425,,,,Southern Illinois 
Copart,WHEELING - Illinois - Copart,Illinois,IL - Wheeling ,IL,USA,Chicago,180,180,,,,Wheeling 
Copart,CICERO - Indiana - Copart,Indiana,IN - Cicero ,IN,USA,Chicago,300,250,,,,Cicero 
Copart,DYER - Indiana - Copart,Indiana,IN - Dyer ,IN,USA,Chicago,180,180,,,,Dyer 
Copart,FORT WAYNE - Indiana - Copart,Indiana,IN - Fort Wayne ,IN,USA,Chicago,300,250,,,,Fort Wayne 
Copart,INDIANAPOLIS - Indiana - Copart,Indiana,IN - Indianapolis ,IN,USA,Chicago,300,250,,,,Indianapolis 
Copart,DAVENPORT - 169 Davenport sublot - Iowa - Copart,Iowa,IA - Davenport ,IA,USA,Chicago,325,275,,,,Davenport 
Copart,DAVENPORT - Iowa - Copart,Iowa,IA - Davenport ,IA,USA,Chicago,325,275,,,,Davenport 
Copart,DES MOINES - Iowa - Copart,Iowa,IA - Des Moines ,IA,USA,Chicago,400,300,,,,Des Moines 
Copart,KANSAS CITY - Kansas - Copart,Kansas,KS - Kansas City ,KS,USA,Savannah,625,450,,,,Kansas City 
Copart,WICHITA - Kansas - Copart,Kansas,KS - Wichita ,KS,USA,Houston,550,450,,,,Wichita 
Copart,EARLINGTON - Kentucky - Copart,Kentucky,KY - Earlington ,KY,USA,Chicago,475,400,,,,Earlington 
Copart,LEXINGTON EAST - Kentucky - Copart,Kentucky,KY - Lexington East ,KY,USA,Chicago,425,325,,,,Lexington East 
Copart,LEXINGTON WEST - Kentucky - Copart,Kentucky,KY - Lexington West ,KY,USA,Chicago,425,325,,,,Lexington West 
Copart,LOUISVILLE - Kentucky - Copart,Kentucky,KY - Louisville ,KY,USA,Chicago,425,325,,,,Louisville 
Copart,WALTON - Kentucky - Copart,Kentucky,KY - Walton ,KY,USA,Chicago,425,325,,,,Walton 
Copart,BATON ROUGE - Louisiana - Copart,Louisiana,LA - Baton Rouge ,LA,USA,Savannah,425,375,,,,Baton Rouge 
Copart,NEW ORLEANS - Louisiana - Copart,Louisiana,LA - New Orleans ,LA,USA,Savannah,425,375,,,,New Orleans 
Copart,SHREVEPORT - Louisiana - Copart,Louisiana,LA - Shreveport ,LA,USA,Houston,315,255,,,,Shreveport 
